timestamp,sentiment,text
2025-02-19 10:15:00,positive,"Bitcoin holding strong above 100K, Trump’s team is gonna moon it! #btc"
2025-02-19 14:30:00,negative,"BTC dumping again, lost 10% this week, when’s the bottom?"
2025-02-19 18:45:00,neutral,"Just checking bitcoin price, still consolidating around 98K."
2025-02-20 09:00:00,positive,"Institutional FOMO kicking in, BTC to 150K by summer!"
2025-02-20 11:20:00,negative,"Bitcoin sentiment is trash, alts bleeding out, bear market vibes."
2025-02-20 13:10:00,neutral,"BTC volume down, waiting for the next big move."
2025-02-20 14:00:00,positive,"Love seeing BTC defy the bears, $200K incoming!"
2025-02-20 15:30:00,negative,"Retail chasing bitcoin pumps always ends in tears, sell now."
2025-02-20 16:15:00,neutral,"Analyzing BTC charts, RSI looks oversold, thoughts?"
2025-02-20 16:35:00,positive,"Bitcoin’s resilience is unreal, hodl forever! #btc"
